GO Accession	GO Name	GO Aspect	P-value (1)	P-value (2)	Protein List (1)	Protein List (2)
GO:0016043	cellular component organization	biological_process	1E0		lcl|c225394_g4_i2|m.10584,lcl|c221753_g3_i7|m.7844,lcl|c224289_g1_i1|m.9705,lcl|c244145_g1_i1|m.31801,lcl|c227202_g1_i3|m.12234,lcl|c224534_g1_i4|m.9895,lcl|c218820_g4_i2|m.5974,lcl|c225618_g2_i6|m.10783	
GO:0006528	asparagine metabolic process	biological_process	1E0		lcl|c237215_g1_i1|m.23031	
GO:0032787	monocarboxylic acid metabolic process	biological_process	1E0		lcl|c236134_g1_i2|m.21741	
GO:0006529	asparagine biosynthetic process	biological_process	1E0		lcl|c237215_g1_i1|m.23031	
GO:0016051	carbohydrate biosynthetic process	biological_process	1E0		lcl|c236134_g1_i2|m.21741	
GO:0016053	organic acid biosynthetic process	biological_process	1E0		lcl|c237215_g1_i1|m.23031	
GO:0061024	membrane organization	biological_process	1E0		lcl|c225394_g4_i2|m.10584,lcl|c224534_g1_i4|m.9895	
GO:0006541	glutamine metabolic process	biological_process	1E0		lcl|c237215_g1_i1|m.23031	
GO:0016070	RNA metabolic process	biological_process	1E0		lcl|c225931_g4_i1|m.11061	
GO:0016071	mRNA metabolic process	biological_process	1E0		lcl|c225931_g4_i1|m.11061	
GO:0000375	RNA splicing, via transesterification reactions	biological_process	1E0		lcl|c225931_g4_i1|m.11061	
GO:0046483	heterocycle metabolic process	biological_process	1E0		lcl|c241500_g1_i1|m.28663,lcl|c210226_g1_i1|m.2139,lcl|c223247_g3_i6|m.8971,lcl|c225931_g4_i1|m.11061,lcl|c231281_g6_i3|m.16097,lcl|c220936_g1_i1|m.7247,lcl|c229060_g1_i1|m.13927	
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	biological_process	1E0		lcl|c225931_g4_i1|m.11061	
GO:0009100	glycoprotein metabolic process	biological_process	1E0		lcl|c241500_g1_i1|m.28663	
GO:0050896	response to stimulus	biological_process	1E0		lcl|c243632_g1_i1|m.31156,lcl|c243506_g1_i6|m.31041,lcl|c238919_g4_i6|m.25079,lcl|c244151_g1_i2|m.31813,lcl|c243554_g1_i5|m.31071	
GO:0009101	glycoprotein biosynthetic process	biological_process	1E0		lcl|c241500_g1_i1|m.28663	
GO:0046496	nicotinamide nucleotide metabolic process	biological_process	1E0		lcl|c223247_g3_i6|m.8971	
GO:0019222	regulation of metabolic process	biological_process	1E0		lcl|c237832_g1_i6|m.23803,lcl|c223425_g3_i3|m.9106,lcl|c224263_g3_i3|m.9691,lcl|c223433_g6_i1|m.9115,lcl|c242001_g1_i2|m.29236,lcl|c223077_g2_i1|m.8858	
GO:0000398	mRNA splicing, via spliceosome	biological_process	1E0		lcl|c225931_g4_i1|m.11061	
GO:0009108	coenzyme biosynthetic process	biological_process	1E0		lcl|c219556_g4_i5|m.6447	
GO:0044237	cellular metabolic process	biological_process	1E0		lcl|c241500_g1_i1|m.28663,lcl|c235743_g4_i1|m.21296,lcl|c224289_g1_i1|m.9705,lcl|c237215_g1_i1|m.23031,lcl|c221356_g3_i2|m.7588,lcl|c219556_g4_i5|m.6447,lcl|c238372_g5_i2|m.24429,lcl|c211022_g1_i7|m.2328,lcl|c210226_g1_i1|m.2139,lcl|c226769_g3_i1|m.11767,lcl|c225618_g2_i6|m.10783,lcl|c236134_g1_i2|m.21741,lcl|c220936_g1_i1|m.7247,lcl|c242894_g3_i1|m.30343,lcl|c223077_g2_i1|m.8858,lcl|c218119_g1_i3|m.5570,lcl|c237832_g1_i6|m.23803,lcl|c218481_g4_i6|m.5811,lcl|c210724_g2_i1|m.2253,lcl|c225931_g4_i1|m.11061,lcl|c228038_g3_i1|m.12994,lcl|c216702_g5_i1|m.4730,lcl|c218703_g1_i4|m.5907,lcl|c242193_g2_i1|m.29501,lcl|c222929_g2_i3|m.8717,lcl|c218820_g4_i2|m.5974,lcl|c238111_g1_i1|m.24102,lcl|c243149_g1_i2|m.30670,lcl|c228448_g3_i1|m.13331,lcl|c217573_g1_i1|m.5252,lcl|c244151_g1_i2|m.31813,lcl|c223247_g3_i6|m.8971,lcl|c231281_g6_i3|m.16097,lcl|c221482_g1_i3|m.7664,lcl|c229060_g1_i1|m.13927	
